replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	234	92	104	92	-0	0.498028	-0	0	0.109375	0
0	235	92	104	92	-0	0.498028	-0	0	0.109375	0
0	236	92	104	92	-0	0.448864	-0	0	0.09375	0
0	237	92	103	92	-0	0.395538	-0	0	0.078125	0
0	238	92	103	92	-0	0.395538	-0	0	0.078125	0
0	239	92	103	92	-0	0.395538	-0	0	0.078125	0
0	240	92	103	92	-0	0.395538	-0	0	0.078125	0
0	241	92	103	92	-0	0.395538	-0	0	0.078125	0
0	242	92	103	92	-0	0.395538	-0	0	0.078125	0
0	243	92	103	92	-0	0.395538	-0	0	0.078125	0
0	244	92	103	92	-0	0.395538	-0	0	0.078125	0
0	245	92	103	92	-0	0.395538	-0	0	0.078125	0
0	246	92	103	92	-0	0.395538	-0	0	0.078125	0
0	247	92	103	92	-0	0.395538	-0	0	0.078125	0
0	248	92	103	92	-0	0.395538	-0	0	0.078125	0
0	249	92	105	92	-0	0.498028	-0	0	0.109375	0
0	250	92	104	92	-0	0.448864	-0	0	0.09375	0
0	251	92	103	92	-0	0.543564	-0	0	0.125	0
0	252	92	102	92	-0	0.395538	-0	0	0.078125	0
0	253	92	99	92	-0	0.395538	-0	0	0.078125	0
0	254	92	102	92	-0	0.395538	-0	0	0.078125	0
0	255	92	102	92	-0	0.272971	-0	0	0.046875	0
0	256	92	100	92	-0	0.200622	-0	0	0.03125	0
0	257	92	92	92	-0	-0	-0	0	0	0
0	258	92	92	92	-0	-0	-0	0	0	0
0	259	92	92	92	-0	-0	-0	0	0	0
0	260	92	92	92	-0	-0	-0	0	0	0
0	261	92	92	92	-0	-0	-0	0	0	0
0	262	92	96	92	-0	0.116115	-0	0	0.015625	0
0	263	92	96	92	-0	0.116115	-0	0	0.015625	0
0	264	92	97	92	-0	0.200622	-0	0	0.03125	0
0	265	92	97	92	-0	0.200622	-0	0	0.03125	0
0	266	92	97	92	-0	0.200622	-0	0	0.03125	0
0	267	92	97	92	-0	0.200622	-0	0	0.03125	0
0	268	92	97	92	-0	0.116115	-0	0	0.015625	0
0	269	92	92	92	-0	-0	-0	0	0	0
0	270	92	92	92	-0	-0	-0	0	0	0
0	271	92	92	92	-0	-0	-0	0	0	0
0	272	92	92	92	-0	-0	-0	0	0	0
0	273	92	92	92	-0	-0	-0	0	0	0
0	274	92	92	92	-0	-0	-0	0	0	0
