replicate	generation	window	K	H	S
0	31	64	79	-0	1
0	32	1	336	0.400732	326
0	32	2	259	0.983007	191
0	32	4	208	1.97289	93
0	32	8	180	3.3569	40
0	32	16	108	3.875	14
0	32	32	86	2	4
0	32	64	79	-0	1
0	33	1	356	0.41438	342
0	33	2	264	1.02766	213
0	33	4	212	1.97456	92
0	33	8	179	3.25812	39
0	33	16	107	3.5	14
0	33	32	86	2	4
0	33	64	79	-0	1
0	34	1	367	0.444052	378
0	34	2	268	1.07519	214
0	34	4	218	2.07246	94
0	34	8	183	3.37791	40
0	34	16	107	3.75	14
0	34	32	86	2	4
0	34	64	78	-0	1
0	35	1	367	0.439202	372
0	35	2	275	1.07696	220
0	35	4	222	2.11235	98
0	35	8	186	3.39491	39
0	35	16	107	3.875	14
0	35	32	86	2	4
0	35	64	78	-0	1
0	36	1	366	0.448864	384
0	36	2	272	1.1205	234
0	36	4	219	2.19009	106
0	36	8	198	3.72825	42
0	36	16	110	3.625	14
0	36	32	87	2	4
0	36	64	78	-0	1
0	37	1	376	0.452053	388
0	37	2	272	1.10752	228
0	37	4	221	2.23237	109
0	37	8	197	3.64887	42
0	37	16	109	3.625	14
0	37	32	88	2	4
0	37	64	78	-0	1
0	38	1	369	0.459168	397
0	38	2	277	1.1247	230
0	38	4	228	2.22783	107
0	38	8	187	3.51364	42
0	38	16	111	3.625	14
0	38	32	87	2	4
0	38	64	78	-0	1
0	39	1	367	0.437577	370
0	39	2	270	1.07192	218
0	39	4	217	2.16944	108
0	39	8	189	3.40347	40
0	39	16	110	3.75	14
0	39	32	87	2	4
0	39	64	78	-0	1
0	40	1	378	0.46698	407
0	40	2	282	1.14945	234
0	40	4	220	2.20104	107
0	40	8	186	3.56848	42
0	40	16	110	3.75	14
0	40	32	87	2	4
0	40	64	79	-0	1
0	41	1	374	0.452847	389
0	41	2	280	1.11347	229
0	41	4	212	2.15053	105
0	41	8	194	3.56537	41
0	41	16	107	3.75	14
0	41	32	86	2	4
0	41	64	78	-0	1
0	42	1	394	0.4891	436
0	42	2	285	1.18962	245
0	42	4	231	2.28282	109
0	42	8	191	3.4701	40
0	42	16	111	3.28064	13
0	42	32	87	2	4
0	42	64	79	-0	1
0	43	1	379	0.46698	407
0	43	2	283	1.12774	244
0	43	4	219	2.24432	114
0	43	8	193	3.58482	41
0	43	16	107	3.57782	13
0	43	32	85	2	4
0	43	64	79	-0	1
0	44	1	399	0.500975	452
0	44	2	288	1.22091	256
0	44	4	229	2.38433	117
0	44	8	191	3.58896	41
0	44	16	110	3.57782	13
0	44	32	86	2	4
0	44	64	79	-0	1
0	45	1	390	0.475463	418
0	45	2	289	1.17639	251
0	45	4	224	2.28396	114
0	45	8	197	3.59506	41
0	45	16	109	3.70282	13
0	45	32	86	2	4
0	45	64	79	-0	1
0	46	1	385	0.479281	423
0	46	2	290	1.16941	239
0	46	4	234	2.30839	110
0	46	8	187	3.57044	42
0	46	16	108	3.875	14
0	46	32	85	2	4
0	46	64	79	-0	1
0	47	1	383	0.472392	414
0	47	2	284	1.13807	235
0	47	4	228	2.2826	109
0	47	8	194	3.75277	44
0	47	16	111	3.57782	13
0	47	32	85	2	4
0	47	64	79	-0	1
0	48	1	372	0.447264	382
0	48	2	279	1.11252	227
0	48	4	217	2.15218	106
0	48	8	182	3.44544	42
0	48	16	107	3.57782	13
0	48	32	87	2	4
0	48	64	78	-0	1
0	49	1	367	0.426912	357
0	49	2	275	1.05555	211
0	49	4	216	2.11912	104
0	49	8	187	3.43316	40
0	49	16	110	3.5	14
0	49	32	84	2	4
0	49	64	79	-0	1
0	50	1	365	0.440013	373
0	50	2	268	1.08506	220
0	50	4	221	2.12364	100
0	50	8	190	3.51057	40
0	50	16	109	3.70282	13
0	50	32	86	2	4
0	50	64	78	-0	1
0	51	1	374	0.431036	362
0	51	2	276	1.06756	219
0	51	4	221	2.09897	101
0	51	8	186	3.47669	42
0	51	16	109	3.75	14
0	51	32	87	2	4
0	51	64	79	-0	1
0	52	1	377	0.441632	375
0	52	2	275	1.08243	219
0	52	4	220	2.18406	106
0	52	8	179	3.43819	42
0	52	16	108	3.75	14
0	52	32	87	2	4
0	52	64	78	-0	1
0	53	1	365	0.417746	346
0	53	2	270	1.03695	213
0	53	4	217	2.12852	107
0	53	8	184	3.50589	43
0	53	16	110	3.625	14
0	53	32	85	2	4
0	53	64	79	-0	1
0	54	1	357	0.430213	361
0	54	2	275	1.07275	218
0	54	4	218	2.14964	107
0	54	8	190	3.54333	42
0	54	16	107	3.45282	14
0	54	32	86	2	4
0	54	64	79	-0	1
0	55	1	355	0.391176	315
0	55	2	267	0.996589	206
0	55	4	207	2.04448	103
0	55	8	178	3.29214	41
0	55	16	108	3.875	14
0	55	32	86	1.5	4
0	55	64	79	-0	1
