replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	65	92	106	92	-0	0.78556	-0	0	0.234375	0
0	66	92	106	92	-0	0.857148	-0	0	0.28125	0
0	67	92	107	92	-0	0.811278	-0	0	0.25	0
0	68	92	106	92	-0	0.857148	-0	0	0.28125	0
0	69	92	108	92	-0	0.835116	-0	0	0.265625	0
0	70	92	108	92	-0	0.757878	-0	0	0.21875	0
0	71	92	108	92	-0	0.912999	-0	0	0.328125	0
0	72	92	105	92	-0	0.757878	-0	0	0.21875	0
0	73	92	106	92	-0	0.835116	-0	0	0.265625	0
0	74	92	105	92	-0	0.811278	-0	0	0.25	0
0	75	92	106	92	-0	0.877437	-0	0	0.296875	0
0	76	92	106	92	-0	0.728134	-0	0	0.203125	0
0	77	92	106	92	-0	0.877437	-0	0	0.296875	0
0	78	92	104	92	-0	0.78556	-0	0	0.234375	0
0	79	92	104	92	-0	0.811278	-0	0	0.25	0
0	80	92	102	92	-0	0.728134	-0	0	0.203125	0
0	81	92	103	92	-0	0.625262	-0	0	0.15625	0
0	82	92	101	92	-0	0.696212	-0	0	0.1875	0
0	83	92	102	92	-0	0.661976	-0	0	0.171875	0
0	84	92	102	92	-0	0.728134	-0	0	0.203125	0
0	85	92	101	92	-0	0.543564	-0	0	0.125	0
0	86	92	104	92	-0	0.728134	-0	0	0.203125	0
0	87	92	105	92	-0	0.696212	-0	0	0.1875	0
0	88	92	102	92	-0	0.395538	-0	0	0.078125	0
0	89	92	102	92	-0	0.395538	-0	0	0.078125	0
0	90	92	101	92	-0	0.448864	-0	0	0.09375	0
0	91	92	103	92	-0	0.498028	-0	0	0.109375	0
0	92	92	102	92	-0	0.543564	-0	0	0.125	0
0	93	92	99	92	-0	0.272971	-0	0	0.046875	0
0	94	92	96	92	-0	0.116115	-0	0	0.015625	0
0	95	92	96	92	-0	0.116115	-0	0	0.015625	0
0	96	92	92	92	-0	-0	-0	0	0	0
0	97	92	97	92	-0	0.116115	-0	0	0.015625	0
0	98	92	97	92	-0	0.272971	-0	0	0.046875	0
0	99	92	101	92	-0	0.33729	-0	0	0.0625	0
0	100	92	98	92	-0	0.272971	-0	0	0.046875	0
0	101	92	101	92	-0	0.272971	-0	0	0.046875	0
0	102	92	101	92	-0	0.33729	-0	0	0.0625	0
0	103	92	100	92	-0	0.33729	-0	0	0.0625	0
0	104	92	101	92	-0	0.395538	-0	0	0.078125	0
0	105	92	100	92	-0	0.33729	-0	0	0.0625	0
0	106	92	101	92	-0	0.395538	-0	0	0.078125	0
0	107	92	101	92	-0	0.448864	-0	0	0.09375	0
0	108	92	101	92	-0	0.498028	-0	0	0.109375	0
0	109	92	103	92	-0	0.498028	-0	0	0.109375	0
0	110	92	103	92	-0	0.498028	-0	0	0.109375	0
0	111	92	103	92	-0	0.498028	-0	0	0.109375	0
0	112	92	103	92	-0	0.498028	-0	0	0.109375	0
0	113	92	103	92	-0	0.498028	-0	0	0.109375	0
0	114	92	103	92	-0	0.498028	-0	0	0.109375	0
0	115	92	103	92	-0	0.543564	-0	0	0.125	0
0	116	92	103	92	-0	0.448864	-0	0	0.09375	0
0	117	92	103	92	-0	0.625262	-0	0	0.15625	0
0	118	92	101	92	-0	0.272971	-0	0	0.046875	0
0	119	92	98	92	-0	0.200622	-0	0	0.03125	0
0	120	92	98	92	-0	0.200622	-0	0	0.03125	0
0	121	92	98	92	-0	0.200622	-0	0	0.03125	0
0	122	92	98	92	-0	0.200622	-0	0	0.03125	0
0	123	92	98	92	-0	0.200622	-0	0	0.03125	0
0	124	92	98	92	-0	0.200622	-0	0	0.03125	0
0	125	92	98	92	-0	0.200622	-0	0	0.03125	0
0	126	92	98	92	-0	0.200622	-0	0	0.03125	0
0	127	92	98	92	-0	0.200622	-0	0	0.03125	0
0	128	92	98	92	-0	0.200622	-0	0	0.03125	0
0	129	92	98	92	-0	0.200622	-0	0	0.03125	0
0	130	92	98	92	-0	0.200622	-0	0	0.03125	0
0	131	92	98	92	-0	0.200622	-0	0	0.03125	0
0	132	92	98	92	-0	0.200622	-0	0	0.03125	0
0	133	92	98	92	-0	0.200622	-0	0	0.03125	0
0	134	92	98	92	-0	0.200622	-0	0	0.03125	0
0	135	92	98	92	-0	0.200622	-0	0	0.03125	0
0	136	92	98	92	-0	0.200622	-0	0	0.03125	0
0	137	92	98	92	-0	0.200622	-0	0	0.03125	0
0	138	92	98	92	-0	0.200622	-0	0	0.03125	0
0	139	92	98	92	-0	0.200622	-0	0	0.03125	0
0	140	92	98	92	-0	0.200622	-0	0	0.03125	0
0	141	92	98	92	-0	0.200622	-0	0	0.03125	0
0	142	92	98	92	-0	0.200622	-0	0	0.03125	0
0	143	92	98	92	-0	0.200622	-0	0	0.03125	0
0	144	92	98	92	-0	0.200622	-0	0	0.03125	0
0	145	92	92	92	-0	-0	-0	0	0	0
0	146	92	92	92	-0	-0	-0	0	0	0
0	147	92	92	92	-0	-0	-0	0	0	0
0	148	92	97	92	-0	0.116115	-0	0	0.015625	0
0	149	92	97	92	-0	0.116115	-0	0	0.015625	0
0	150	92	98	92	-0	0.272971	-0	0	0.046875	0
0	151	92	101	92	-0	0.33729	-0	0	0.0625	0
0	152	92	99	92	-0	0.272971	-0	0	0.046875	0
0	153	92	101	92	-0	0.395538	-0	0	0.078125	0
0	154	92	100	92	-0	0.272971	-0	0	0.046875	0
0	155	92	98	92	-0	0.33729	-0	0	0.0625	0
0	156	92	99	92	-0	0.272971	-0	0	0.046875	0
0	157	92	101	92	-0	0.272971	-0	0	0.046875	0
0	158	92	100	92	-0	0.395538	-0	0	0.078125	0
0	159	92	98	92	-0	0.33729	-0	0	0.0625	0
0	160	92	99	92	-0	0.395538	-0	0	0.078125	0
0	161	92	100	92	-0	0.448864	-0	0	0.09375	0
0	162	92	100	92	-0	0.448864	-0	0	0.09375	0
0	163	92	103	92	-0	0.543564	-0	0	0.125	0
0	164	92	102	92	-0	0.395538	-0	0	0.078125	0
0	165	92	100	92	-0	0.395538	-0	0	0.078125	0
0	166	92	100	92	-0	0.395538	-0	0	0.078125	0
0	167	92	100	92	-0	0.395538	-0	0	0.078125	0
0	168	92	100	92	-0	0.395538	-0	0	0.078125	0
0	169	92	100	92	-0	0.395538	-0	0	0.078125	0
0	170	92	100	92	-0	0.395538	-0	0	0.078125	0
0	171	92	100	92	-0	0.395538	-0	0	0.078125	0
0	172	92	100	92	-0	0.395538	-0	0	0.078125	0
0	173	92	100	92	-0	0.395538	-0	0	0.078125	0
0	174	92	101	92	-0	0.498028	-0	0	0.109375	0
0	175	92	102	92	-0	0.625262	-0	0	0.15625	0
0	176	92	103	92	-0	0.696212	-0	0	0.1875	0
0	177	92	103	92	-0	0.585873	-0	0	0.140625	0
0	178	92	104	92	-0	0.728134	-0	0	0.203125	0
0	179	92	103	92	-0	0.696212	-0	0	0.1875	0
0	180	92	103	92	-0	0.835116	-0	0	0.265625	0
0	181	92	104	92	-0	0.728134	-0	0	0.203125	0
0	182	92	103	92	-0	0.661976	-0	0	0.171875	0
0	183	92	100	92	-0	0.585873	-0	0	0.140625	0
0	184	92	102	92	-0	0.696212	-0	0	0.1875	0
0	185	92	102	92	-0	0.543564	-0	0	0.125	0
0	186	92	101	92	-0	0.448864	-0	0	0.09375	0
0	187	92	98	92	-0	0.33729	-0	0	0.0625	0
0	188	92	100	92	-0	0.448864	-0	0	0.09375	0
0	189	92	101	92	-0	0.585873	-0	0	0.140625	0
0	190	92	102	92	-0	0.696212	-0	0	0.1875	0
0	191	92	103	92	-0	0.661976	-0	0	0.171875	0
0	192	92	104	92	-0	0.543564	-0	0	0.125	0
0	193	92	102	92	-0	0.498028	-0	0	0.109375	0
0	194	92	100	92	-0	0.448864	-0	0	0.09375	0
0	195	92	101	92	-0	0.395538	-0	0	0.078125	0
0	196	92	101	92	-0	0.272971	-0	0	0.046875	0
0	197	92	101	92	-0	0.200622	-0	0	0.03125	0
0	198	92	92	92	-0	-0	-0	0	0	0
0	199	92	92	92	-0	-0	-0	0	0	0
0	200	92	97	92	-0	0.116115	-0	0	0.015625	0
0	201	92	97	92	-0	0.116115	-0	0	0.015625	0
0	202	92	92	92	-0	-0	-0	0	0	0
0	203	92	92	92	-0	-0	-0	0	0	0
0	204	92	92	92	-0	-0	-0	0	0	0
0	205	92	92	92	-0	-0	-0	0	0	0
0	206	92	92	92	-0	-0	-0	0	0	0
0	207	92	97	92	-0	0.116115	-0	0	0.015625	0
0	208	92	98	92	-0	0.200622	-0	0	0.03125	0
0	209	92	99	92	-0	0.272971	-0	0	0.046875	0
0	210	92	99	92	-0	0.272971	-0	0	0.046875	0
0	211	92	100	92	-0	0.395538	-0	0	0.078125	0
0	212	92	98	92	-0	0.272971	-0	0	0.046875	0
0	213	92	99	92	-0	0.272971	-0	0	0.046875	0
0	214	92	99	92	-0	0.272971	-0	0	0.046875	0
0	215	92	97	92	-0	0.272971	-0	0	0.046875	0
0	216	92	99	92	-0	0.200622	-0	0	0.03125	0
0	217	92	98	92	-0	0.200622	-0	0	0.03125	0
0	218	92	92	92	-0	-0	-0	0	0	0
0	219	92	92	92	-0	-0	-0	0	0	0
0	220	92	92	92	-0	-0	-0	0	0	0
0	221	92	92	92	-0	-0	-0	0	0	0
0	222	92	92	92	-0	-0	-0	0	0	0
0	223	92	97	92	-0	0.200622	-0	0	0.03125	0
0	224	92	99	92	-0	0.116115	-0	0	0.015625	0
0	225	92	98	92	-0	0.200622	-0	0	0.03125	0
0	226	92	98	92	-0	0.200622	-0	0	0.03125	0
0	227	92	98	92	-0	0.200622	-0	0	0.03125	0
0	228	92	98	92	-0	0.272971	-0	0	0.046875	0
0	229	92	101	92	-0	0.33729	-0	0	0.0625	0
0	230	92	101	92	-0	0.498028	-0	0	0.109375	0
0	231	92	102	92	-0	0.543564	-0	0	0.125	0
0	232	92	102	92	-0	0.543564	-0	0	0.125	0
0	233	92	106	92	-0	0.395538	-0	0	0.078125	0
0	234	92	102	92	-0	0.395538	-0	0	0.078125	0
0	235	92	102	92	-0	0.395538	-0	0	0.078125	0
0	236	92	102	92	-0	0.395538	-0	0	0.078125	0
0	237	92	101	92	-0	0.448864	-0	0	0.09375	0
0	238	92	103	92	-0	0.498028	-0	0	0.109375	0
0	239	92	100	92	-0	0.448864	-0	0	0.09375	0
0	240	92	99	92	-0	0.448864	-0	0	0.09375	0
0	241	92	103	92	-0	0.543564	-0	0	0.125	0
0	242	92	104	92	-0	0.395538	-0	0	0.078125	0
0	243	92	101	92	-0	0.498028	-0	0	0.109375	0
0	244	92	101	92	-0	0.33729	-0	0	0.0625	0
0	245	92	98	92	-0	0.200622	-0	0	0.03125	0
0	246	92	97	92	-0	0.116115	-0	0	0.015625	0
0	247	92	92	92	-0	-0	-0	0	0	0
0	248	92	97	92	-0	0.116115	-0	0	0.015625	0
0	249	92	98	92	-0	0.272971	-0	0	0.046875	0
0	250	92	98	92	-0	0.200622	-0	0	0.03125	0
0	251	92	97	92	-0	0.116115	-0	0	0.015625	0
0	252	92	98	92	-0	0.200622	-0	0	0.03125	0
0	253	92	98	92	-0	0.200622	-0	0	0.03125	0
0	254	92	98	92	-0	0.200622	-0	0	0.03125	0
0	255	92	97	92	-0	0.272971	-0	0	0.046875	0
0	256	92	98	92	-0	0.272971	-0	0	0.046875	0
0	257	92	100	92	-0	0.395538	-0	0	0.078125	0
0	258	92	101	92	-0	0.33729	-0	0	0.0625	0
0	259	92	99	92	-0	0.33729	-0	0	0.0625	0
0	260	92	100	92	-0	0.448864	-0	0	0.09375	0
0	261	92	100	92	-0	0.585873	-0	0	0.140625	0
0	262	92	100	92	-0	0.33729	-0	0	0.0625	0
0	263	92	100	92	-0	0.395538	-0	0	0.078125	0
0	264	92	99	92	-0	0.448864	-0	0	0.09375	0
0	265	92	100	92	-0	0.33729	-0	0	0.0625	0
0	266	92	100	92	-0	0.272971	-0	0	0.046875	0
0	267	92	98	92	-0	0.200622	-0	0	0.03125	0
0	268	92	100	92	-0	0.200622	-0	0	0.03125	0
